Longitude Bin,Latitude Bin,Longitude,Latitude,"PM1, ug/m3","PM2.5, ug/m3","PM10, ug/m3"
"(-1.8001483990999998, -1.800128830689655]","(53.805881552892565, 53.805890506611576]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.805890506611576, 53.80589946033058]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80589946033058, 53.80590841404959]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80590841404959, 53.8059173677686]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.8059173677686, 53.805926321487604]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.805926321487604, 53.805935275206615]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.805935275206615, 53.805944228925625]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.805944228925625, 53.80595318264463]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80595318264463, 53.80596213636364]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80596213636364, 53.80597109008265]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80597109008265, 53.805980043801654]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.805980043801654, 53.805988997520664]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.805988997520664, 53.805997951239675]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.805997951239675, 53.80600690495868]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80600690495868, 53.80601585867769]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80601585867769, 53.8060248123967]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.8060248123967, 53.8060337661157]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.8060337661157, 53.806042719834714]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.806042719834714, 53.806051673553725]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.806051673553725, 53.80606062727273]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80606062727273, 53.80606958099174]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80606958099174, 53.80607853471075]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80607853471075, 53.80608748842975]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80608748842975, 53.806096442148764]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.806096442148764, 53.80610539586777]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80610539586777, 53.80611434958678]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80611434958678, 53.80612330330579]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80612330330579, 53.80613225702479]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80613225702479, 53.8061412107438]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.8061412107438, 53.806150164462814]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.806150164462814, 53.80615911818182]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80615911818182, 53.80616807190083]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80616807190083, 53.80617702561984]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80617702561984, 53.80618597933884]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80618597933884, 53.80619493305785]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80619493305785, 53.80620388677686]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80620388677686, 53.80621284049587]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80621284049587, 53.80622179421488]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80622179421488, 53.80623074793389]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80623074793389, 53.80623970165289]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80623970165289, 53.8062486553719]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.8062486553719, 53.80625760909091]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80625760909091, 53.80626656280992]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80626656280992, 53.80627551652893]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80627551652893, 53.80628447024794]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80628447024794, 53.80629342396694]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80629342396694, 53.80630237768595]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80630237768595, 53.80631133140496]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80631133140496, 53.80632028512397]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80632028512397, 53.80632923884298]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80632923884298, 53.80633819256199]",-1.8001351,53.8063357,2.0,4.0,5.5
"(-1.8001483990999998, -1.800128830689655]","(53.80633819256199, 53.80634714628099]",-1.800136492857143,53.80634175,1.5714285714285714,3.0714285714285716,4.285714285714286
"(-1.8001483990999998, -1.800128830689655]","(53.80634714628099, 53.8063561]",-1.8001391,53.806354125,2.75,4.75,5.5
"(-1.800128830689655, -1.8001136613793103]","(53.8052716166, 53.805281653719014]",,,,,
"(-1.800128830689655, -1.8001136613793103]","(53.805281653719014, 53.80529060743802]",,,,,
"(-1.800128830689655, -1.8001136613793103]","(53.80529060743802, 53.80529956115703]",,,,,
"(-1.800128830689655, -1.8001136613793103]","(53.80529956115703, 53.80530851487604]",,,,,
"(-1.800128830689655, -1.8001136613793103]","(53.80530851487604, 53.80531746859504]",,,,,
"(-1.800128830689655, -1.8001136613793103]","(53.80531746859504, 53.80532642231405]",,,,,
"(-1.800128830689655, -1.8001136613793103]","(53.80532642231405, 53.805335376033064]",,,,,
"(-1.800128830689655, -1.8001136613793103]","(53.805335376033064, 53.80534432975207]",,,,,
"(-1.800128830689655, -1.8001136613793103]","(53.80534432975207, 53.80535328347108]",,,,,
"(-1.800128830689655, -1.8001136613793103]","(53.80535328347108, 53.80536223719009]",,,,,
"(-1.800128830689655, -1.8001136613793103]","(53.80536223719009, 53.80537119090909]",,,,,
"(-1.800128830689655, -1.8001136613793103]","(53.80537119090909, 53.8053801446281]",,,,,
"(-1.800128830689655, -1.8001136613793103]","(53.8053801446281, 53.80538909834711]",,,,,
"(-1.800128830689655, -1.8001136613793103]","(53.80538909834711, 53.80539805206612]",,,,,
"(-1.800128830689655, -1.8001136613793103]","(53.80539805206612, 53.80540700578513]",,,,,
"(-1.800128830689655, -1.8001136613793103]","(53.80540700578513, 53.80541595950414]",,,,,
"(-1.800128830689655, -1.8001136613793103]","(53.80541595950414, 53.80542491322314]",,,,,
"(-1.800128830689655, -1.8001136613793103]","(53.80542491322314, 53.80543386694215]",,,,,
"(-1.800128830689655, -1.8001136613793103]","(53.80543386694215, 53.80544282066116]",,,,,
